General Offense Number,Longitude,Latitude,Event Clearance Code,Event Clearance Group,Census Tract,Incident Location,Zone/Beat
2015449357,-122.293755,47.538914,041,"THREATS, HARASSMENT",11002.1017,"(47.538914, -122.293755)",S1
2016398566,-122.33844,47.611298,041,"THREATS, HARASSMENT",8100.2002,"(47.611298, -122.33844)",M2
2015450357,-122.289925,47.568882,041,"THREATS, HARASSMENT",10100.5018,"(47.568882, -122.289925)",R2
2015450472,-122.34363,47.72321,041,"THREATS, HARASSMENT",600.1020,"(47.72321, -122.34363)",N2
2015451188,-122.316124,47.61312,041,"THREATS, HARASSMENT",7500.4008,"(47.61312, -122.316124)",E2
2015451846,-122.273994,47.538902,041,"THREATS, HARASSMENT",11101.2011,"(47.538902, -122.273994)",S2
2016949,-122.29382,47.73286,041,"THREATS, HARASSMENT",100.4001,"(47.73286, -122.29382)",L1
2016971,-122.33779,47.60975,041,"THREATS, HARASSMENT",8100.2013,"(47.60975, -122.33779)",M3
2016242676,-122.375565,47.635952,041,"THREATS, HARASSMENT",7100.1004,"(47.635952, -122.375565)",Q2
2016364307,-122.32949,47.618237,041,"THREATS, HARASSMENT",7300.2010,"(47.618237, -122.32949)",D3
20163373,-122.34659,47.723213,041,"THREATS, HARASSMENT",402.2001,"(47.723213, -122.34659)",N2
20163730,-122.343,47.659958,041,"THREATS, HARASSMENT",5000.3016,"(47.659958, -122.343)",B3
2016172355,-122.308945,47.60617,041,"THREATS, HARASSMENT",8700.3001,"(47.60617, -122.308945)",G2
20165086,-122.33956,47.608326,041,"THREATS, HARASSMENT",8100.3003,"(47.608326, -122.33956)",M1
20165348,-122.27128,47.52911,041,"THREATS, HARASSMENT",11800.5006,"(47.52911, -122.27128)",S2
2016339657,-122.34895,47.66156,041,"THREATS, HARASSMENT",4900.5002,"(47.66156, -122.34895)",B2
20166180,-122.33756,47.613945,041,"THREATS, HARASSMENT",7200.1061,"(47.613945, -122.33756)",M2
20167025,-122.320854,47.65589,041,"THREATS, HARASSMENT",5200.2011,"(47.65589, -122.320854)",U2
20167202,-122.27861,47.510456,041,"THREATS, HARASSMENT",11700.2021,"(47.510456, -122.27861)",S1
2016261999,-122.393036,47.68773,041,"THREATS, HARASSMENT",3100.2004,"(47.68773, -122.393036)",J2
2016381942,-122.31378,47.5999,041,"THREATS, HARASSMENT",9000.2013,"(47.5999, -122.31378)",G2
2016381798,-122.33844,47.611298,041,"THREATS, HARASSMENT",8100.2002,"(47.611298, -122.33844)",M2
20167864,-122.33797,47.612423,041,"THREATS, HARASSMENT",8100.2001,"(47.612423, -122.33797)",M2
20168523,-122.348595,47.65194,041,"THREATS, HARASSMENT",4900.2013,"(47.65194, -122.348595)",B2
2016422821,-122.31302,47.668545,041,"THREATS, HARASSMENT",4400.2028,"(47.668545, -122.31302)",U1
20168362,-122.38872,47.6879,041,"THREATS, HARASSMENT",3100.2007,"(47.6879, -122.38872)",J2
20169562,-122.31253,47.71513,041,"THREATS, HARASSMENT",600.2005,"(47.71513, -122.31253)",L1
2016382942,-122.28326,47.555695,041,"THREATS, HARASSMENT",10300.5016,"(47.555695, -122.28326)",R3
201611295,-122.33001,47.61226,041,"THREATS, HARASSMENT",8200.3001,"(47.61226, -122.33001)",E3
201612479,-122.32959,47.546696,041,"THREATS, HARASSMENT",10900.2071,"(47.546696, -122.32959)",O3
2016382798,-122.31911,47.522026,041,"THREATS, HARASSMENT",11200.3012,"(47.522026, -122.31911)",F3
2013402749,-122.34665331,47.644266472,041,"THREATS, HARASSMENT",6000.1010,"(47.644266472, -122.34665331)",Q2
201614504,-122.37039,47.63292,041,"THREATS, HARASSMENT",6900.2013,"(47.63292, -122.37039)",Q2
201615808,-122.31016,47.61559,041,"THREATS, HARASSMENT",7900.4005,"(47.61559, -122.31016)",C2
201615955,-122.32465,47.60461,041,"THREATS, HARASSMENT",8500.3000,"(47.60461, -122.32465)",G1
201616397,-122.32288,47.52859,041,"THREATS, HARASSMENT",11200.2032,"(47.52859, -122.32288)",F3
2016262589,-122.311134,47.548885,041,"THREATS, HARASSMENT",10402.1027,"(47.548885, -122.311134)",O3
201618079,-122.292496,47.72101,041,"THREATS, HARASSMENT",100.3003,"(47.72101, -122.292496)",L3
