General Offense Number,Longitude,Latitude,Event Clearance Code,Event Clearance Group,Census Tract,Incident Location,Zone/Beat
201126682,-122.313088,47.66399626,10,HOMICIDE,5301.2,"(47.663996256, -122.313087957)",U3
201124537,-122.3329419,47.6158847,10,HOMICIDE,7300.2022,"(47.6158847, -122.332941874)",D2
20134946,-122.3335591,47.61014711,10,HOMICIDE,8200.1014,"(47.610147114, -122.333559143)",D3
201464475,-122.3577848,47.50602882,10,HOMICIDE,,"(47.50602882, -122.357784816)",99
201756904,-122.32506,47.59793,10,HOMICIDE,9100.2004,"(47.59793, -122.32506)",K3
2014104441,-122.3373947,47.612663,10,HOMICIDE,8100.2001,"(47.612663004, -122.33739473)",M2
2014108424,-122.2589181,47.52001979,10,HOMICIDE,11800.1009,"(47.520019793, -122.258918127)",S3
2014117712,-122.3118254,47.59626282,10,HOMICIDE,9000.201,"(47.596262817, -122.311825394)",G2
2014119638,-122.3031729,47.61293726,10,HOMICIDE,7900.1004,"(47.612937258, -122.303172864)",G1
2014122042,-122.2825726,47.61827779,10,HOMICIDE,7800.1009,"(47.618277794, -122.282572598)",C3
2014125746,-122.2963152,47.596711,10,HOMICIDE,8900.4,"(47.596710999, -122.296315227)",G3
2014127210,-122.2960022,47.59448493,10,HOMICIDE,8900.3002,"(47.594484934, -122.296002184)",G3
2016285782,-122.357346,47.627193,10,HOMICIDE,7000.5,"(47.627193, -122.357346)",Q3
2014155724,-122.3382473,47.6102463,10,HOMICIDE,8100.2005,"(47.6102463, -122.338247302)",K1
2014160012,-122.281345,47.53420104,10,HOMICIDE,11000.2,"(47.534201038, -122.281344955)",S2
2014172165,-122.2947158,47.59919864,10,HOMICIDE,8900.5001,"(47.599198644, -122.294715753)",G3
2014182254,-122.2807994,47.54969539,10,HOMICIDE,10300.201,"(47.549695391, -122.280799437)",S1
2014180023,-122.3172334,47.60001288,10,HOMICIDE,9100.1002,"(47.600012883, -122.317233402)",E3
2014183381,-122.3608787,47.65082906,10,HOMICIDE,5900.1021,"(47.650829062, -122.360878652)",Q2
2014178069,-122.3608751,47.65119779,10,HOMICIDE,5900.1022,"(47.651197792, -122.360875056)",Q2
2016450401,-122.283295,47.543182,10,HOMICIDE,11101.4016,"(47.543182, -122.283295)",S2
201718496,-122.26998,47.527042,10,HOMICIDE,11800.5008,"(47.527042, -122.26998)",S2
2014200332,-122.3283173,47.59919591,10,HOMICIDE,9200.1006,"(47.59919591, -122.32831725)",K2
2014236107,-122.322802,47.53337795,10,HOMICIDE,11200.2002,"(47.533377945, -122.322801959)",F1
2014238590,-122.313088,47.66399626,10,HOMICIDE,5301.2001,"(47.663996257, -122.313087962)",U3
2014247779,-122.304107,47.54472361,10,HOMICIDE,11000.3003,"(47.544723611, -122.304107037)",O3
2014256800,-122.3324939,47.64829623,10,HOMICIDE,5400.2002,"(47.648296228, -122.332493896)",J3
2014314696,-122.3325082,47.61799402,10,HOMICIDE,7300.2012,"(47.617994023, -122.332508229)",D2
2014319915,-122.3341979,47.57170391,10,HOMICIDE,9300.3049,"(47.571703908, -122.33419792)",O2
2014319590,-122.3319864,47.60171697,10,HOMICIDE,8100.2035,"(47.601716966, -122.331986369)",K3
2014340134,-122.3445627,47.61222186,10,HOMICIDE,8002.1003,"(47.612221861, -122.344562702)",M3
2014360319,-122.2522803,47.50333439,10,HOMICIDE,11900.3012,"(47.503334385, -122.252280258)",S3
2014400443,-122.3263555,47.60045149,10,HOMICIDE,9200.1004,"(47.600451491, -122.326355499)",K2
2014402556,-122.3330404,47.60455382,10,HOMICIDE,8100.2027,"(47.604553824, -122.333040387)",K1
2014405538,-122.3192821,47.54982998,10,HOMICIDE,10900.2004,"(47.549829981, -122.31928212)",O3
2014407279,-122.2709109,47.55598824,10,HOMICIDE,10200.6012,"(47.555988241, -122.27091089)",R3
2014408029,-122.3156801,47.59919954,10,HOMICIDE,9000.3009,"(47.599199537, -122.315680054)",E3
2014431161,-122.2744778,47.53155806,10,HOMICIDE,11101.3008,"(47.531558059, -122.274477774)",S2
201539192,-122.3803247,47.57217706,10,HOMICIDE,9800.2018,"(47.572177058, -122.380324681)",W1
201552668,-122.3161422,47.52730371,10,HOMICIDE,11200.3003,"(47.527303708, -122.316142159)",F3
2012242471,-122.3481963,47.72321763,10,HOMICIDE,402.2002,"(47.723217633, -122.348196326)",N1
201583674,-122.3224506,47.60170234,10,HOMICIDE,9100.1002,"(47.601702337, -122.322450598)",G1
201588478,-122.3224506,47.60170234,10,HOMICIDE,9100.1002,"(47.601702337, -122.322450598)",G1
2015141763,-122.3155004,47.65908266,10,HOMICIDE,5301.3007,"(47.659082659, -122.31550035)",U2
2015177754,-122.316422,47.60419061,10,HOMICIDE,8600.3003,"(47.604190614, -122.316421959)",G1
2015217938,-122.3270212,47.59751593,10,HOMICIDE,9100.2009,"(47.597515933, -122.32702115)",K3
2015228781,-122.2951874,47.73196572,10,HOMICIDE,100.4001,"(47.73196572, -122.295187447)",L1
2015224628,-122.3014444,47.61080082,10,HOMICIDE,8800.1009,"(47.610800821, -122.301444355)",C3
