General Offense Number,Longitude,Latitude,Event Clearance Code,Event Clearance Group,Census Tract,Incident Location,Zone/Beat
201134392,-122.382669149,47.675981344,071,AUTO THEFTS,3300.4000,"(47.675981344, -122.382669149)",B2
201134361,-122.295824169,47.541986505,071,AUTO THEFTS,11000.5009,"(47.541986505, -122.295824169)",S1
201134305,-122.353027387,47.661398748,071,AUTO THEFTS,4900.5006,"(47.661398748, -122.353027387)",J2
201134258,-122.31891452,47.687483485,071,AUTO THEFTS,2700.1011,"(47.687483485, -122.31891452)",U1
201134220,-122.36227301,47.716946129,071,AUTO THEFTS,500.2017,"(47.716946129, -122.36227301)",B1
201134206,-122.374100889,47.689676763,071,AUTO THEFTS,3000.6002,"(47.689676763, -122.374100889)",B3
201133520,-122.346586089,47.723214975,071,AUTO THEFTS,402.2000,"(47.723214975, -122.346586089)",N1
201133503,-122.313473609,47.612914569,071,AUTO THEFTS,7500.4016,"(47.612914569, -122.313473609)",E2
201133468,-122.304444626,47.669914966,071,AUTO THEFTS,4300.5004,"(47.669914966, -122.304444626)",U1
201133447,-122.354810857,47.551917682,071,AUTO THEFTS,10800.1003,"(47.551917682, -122.354810857)",F1
201133409,-122.322196395,47.619315787,071,AUTO THEFTS,7400.3005,"(47.619315787, -122.322196395)",E1
201133321,-122.324615153,47.708602801,071,AUTO THEFTS,1200.4005,"(47.708602801, -122.324615153)",N3
201133196,-122.356459562,47.521949867,071,AUTO THEFTS,11400.3020,"(47.521949867, -122.356459562)",F2
201133107,-122.347302447,47.645030391,071,AUTO THEFTS,6000.1000,"(47.645030391, -122.347302447)",Q2
201133097,-122.360085199,47.701483965,071,AUTO THEFTS,1700.6000,"(47.701483965, -122.360085199)",N2
201132955,-122.288423546,47.564962187,071,AUTO THEFTS,10100.5012,"(47.564962187, -122.288423546)",R1
201132880,-122.359959235,47.626728015,071,AUTO THEFTS,7000.6007,"(47.626728015, -122.359959235)",Q3
201132766,-122.280019789,47.538889627,071,AUTO THEFTS,11101.4010,"(47.538889627, -122.280019789)",S1
2012444984,-122.360650766,47.62153916,071,AUTO THEFTS,7100.1010,"(47.62153916, -122.360650766)",Q3
20133953,-122.411339465,47.577751001,071,AUTO THEFTS,9701.2003,"(47.577751001, -122.411339465)",W1
2012429731,-122.394220016,47.652715788,071,AUTO THEFTS,5700.2018,"(47.652715788, -122.394220016)",Q1
2012423764,-122.264788449,47.506573875,071,AUTO THEFTS,11900.5002,"(47.506573875, -122.264788449)",S3
201132255,-122.348423784,47.571012663,071,AUTO THEFTS,9900.4029,"(47.571012663, -122.348423784)",W1
201132244,-122.350579443,47.702170761,071,AUTO THEFTS,1700.1012,"(47.702170761, -122.350579443)",N2
201131895,-122.314343858,47.659068799,071,AUTO THEFTS,5301.3007,"(47.659068799, -122.314343858)",U2
201131736,-122.354077091,47.702181713,071,AUTO THEFTS,1700.1009,"(47.702181713, -122.354077091)",N2
201131613,-122.347216184,47.68947435,071,AUTO THEFTS,2800.1003,"(47.68947435, -122.347216184)",J1
201131422,-122.349269341,47.521910848,071,AUTO THEFTS,11300.3012,"(47.521910848, -122.349269341)",F3
2012439049,-122.359799948,47.548345835,071,AUTO THEFTS,10800.3001,"(47.548345835, -122.359799948)",F1
201131188,-122.318990061,47.523054333,071,AUTO THEFTS,11200.3012,"(47.523054333, -122.318990061)",F3
201131127,-122.278135494,47.548563462,071,AUTO THEFTS,10300.2013,"(47.548563462, -122.278135494)",R3
2013440,-122.269229923,47.546070929,071,AUTO THEFTS,10200.2012,"(47.546070929, -122.269229923)",R3
201130391,-122.348172096,47.534062491,071,AUTO THEFTS,10800.1003,"(47.534062491, -122.348172096)",F1
201130333,-122.310748638,47.576419216,071,AUTO THEFTS,10000.5017,"(47.576419216, -122.310748638)",O1
