General Offense Number,Longitude,Latitude,Event Clearance Code,Event Clearance Group,Census Tract,Incident Location,Zone/Beat
2014249365,-122.38474313,47.670547668,030,ROBBERY,4700.5005,"(47.670547668, -122.38474313)",B2
2014244142,-122.294617688,47.561616786,030,ROBBERY,10000.2010,"(47.561616786, -122.294617688)",R2
2014251860,-122.313436508,47.59665466,030,ROBBERY,9000.3020,"(47.59665466, -122.313436508)",G2
2014251945,-122.327680652,47.59665538,030,ROBBERY,9100.1014,"(47.59665538, -122.327680652)",K2
201760951,-122.32332,47.709995,030,ROBBERY,1200.3002,"(47.709995, -122.32332)",L2
2014252191,-122.318168857,47.615838397,030,ROBBERY,7500.5008,"(47.615838397, -122.318168857)",C2
2014257436,-122.328970595,47.599195616,030,ROBBERY,9200.1006,"(47.599195616, -122.328970595)",K2
2014256156,-122.358249161,47.726196986,030,ROBBERY,401.2015,"(47.726196986, -122.358249161)",B1
2014255834,-122.269987877,47.522815644,030,ROBBERY,11800.6014,"(47.522815644, -122.269987877)",S3
201761011,-122.314156,47.668552,030,ROBBERY,4400.2024,"(47.668552, -122.314156)",U1
2014257391,-122.287922024,47.551238679,030,ROBBERY,10300.4020,"(47.551238679, -122.287922024)",S1
201760976,-122.387184,47.559082,030,ROBBERY,10500.5016,"(47.559082, -122.387184)",W2
2014258691,-122.318704212,47.6749846,030,ROBBERY,3600.1029,"(47.6749846, -122.318704212)",U1
2014259688,-122.295177754,47.574454531,030,ROBBERY,9500.5017,"(47.574454531, -122.295177754)",R1
2014260697,-122.320781185,47.614074153,030,ROBBERY,8400.1017,"(47.614074153, -122.320781185)",E2
2014262835,-122.318168857,47.615838397,030,ROBBERY,7500.5008,"(47.615838397, -122.318168857)",C2
2014263318,-122.269996969,47.521902751,030,ROBBERY,11800.4005,"(47.521902751, -122.269996969)",S2
2014263984,-122.339815384,47.610275593,030,ROBBERY,8100.2004,"(47.610275593, -122.339815384)",M3
2014265952,-122.269995383,47.52165752,030,ROBBERY,11800.4005,"(47.52165752, -122.269995383)",S2
2014267552,-122.358046368,47.620946032,030,ROBBERY,7100.2012,"(47.620946032, -122.358046368)",Q3
2014267479,-122.298593947,47.549979687,030,ROBBERY,10400.3009,"(47.549979687, -122.298593947)",S1
2014268761,-122.301175229,47.622011515,030,ROBBERY,7700.5007,"(47.622011515, -122.301175229)",C3
2014270611,-122.355829483,47.518101546,030,ROBBERY,11400.4015,"(47.518101546, -122.355829483)",F2
2014271520,-122.300112732,47.612935797,030,ROBBERY,7700.3015,"(47.612935797, -122.300112732)",C3
2014271471,-122.31791391,47.612361066,030,ROBBERY,8600.2000,"(47.612361066, -122.31791391)",E2
2014272752,-122.326363787,47.59919147,030,ROBBERY,9200.1005,"(47.59919147, -122.326363787)",K2
2014272756,-122.345864519,47.690566694,030,ROBBERY,1800.2014,"(47.690566694, -122.345864519)",N2
2014275251,-122.401802377,47.689241732,030,ROBBERY,3100.6001,"(47.689241732, -122.401802377)",B2
2014272560,-122.33715629,47.621452718,030,ROBBERY,7300.3011,"(47.621452718, -122.33715629)",D2
20172163,-122.324615,47.708603,030,ROBBERY,1200.4011,"(47.708603, -122.324615)",L2
2014277881,-122.329469066,47.613233616,030,ROBBERY,8300.2007,"(47.613233616, -122.329469066)",D3
2014280147,-122.331082198,47.602412416,030,ROBBERY,8100.2035,"(47.602412416, -122.331082198)",K2
2014282410,-122.259637681,47.495987393,030,ROBBERY,11900.4017,"(47.495987393, -122.259637681)",S3
2014282736,-122.338906797,47.609284041,030,ROBBERY,8100.2010,"(47.609284041, -122.338906797)",M3
2014284453,-122.320781185,47.614074153,030,ROBBERY,8400.1017,"(47.614074153, -122.320781185)",E2
2014287929,-122.342194182,47.613164321,030,ROBBERY,7200.2025,"(47.613164321, -122.342194182)",M2
2014285198,-122.264709866,47.525566954,030,ROBBERY,11800.6012,"(47.525566954, -122.264709866)",S2
2014283993,-122.27002385,47.517150577,030,ROBBERY,11700.4003,"(47.517150577, -122.27002385)",S3
2014293537,-122.337793005,47.609748463,030,ROBBERY,8100.2010,"(47.609748463, -122.337793005)",K1
2014294849,-122.338906797,47.609284041,030,ROBBERY,8100.2010,"(47.609284041, -122.338906797)",M3
2014297530,-122.340016517,47.608819662,030,ROBBERY,8100.1010,"(47.608819662, -122.340016517)",M3
20172533,-122.27871,47.537056,030,ROBBERY,11101.2016,"(47.537056, -122.27871)",S2
2014308871,-122.290289878,47.546116488,030,ROBBERY,11000.1000,"(47.546116488, -122.290289878)",S1
2014308362,-122.326015511,47.71092446,030,ROBBERY,1200.4000,"(47.71092446, -122.326015511)",N3
2014309509,-122.323417654,47.61522969,030,ROBBERY,8400.1014,"(47.61522969, -122.323417654)",E2
2014306995,-122.376447894,47.544680387,030,ROBBERY,10600.2000,"(47.544680387, -122.376447894)",W3
2014306912,-122.262028186,47.516010075,030,ROBBERY,11800.3010,"(47.516010075, -122.262028186)",S3
2014309739,-122.293673503,47.56010308,030,ROBBERY,10400.1001,"(47.56010308, -122.293673503)",R2
2014305909,-122.356471601,47.521031163,030,ROBBERY,11400.3020,"(47.521031163, -122.356471601)",F2
2014314245,-122.338146745,47.610975162,030,ROBBERY,8100.2002,"(47.610975162, -122.338146745)",M2
2014316004,-122.32835884,47.613698028,030,ROBBERY,8300.2006,"(47.613698028, -122.32835884)",D3
2014316757,-122.333529119,47.600882391,030,ROBBERY,9200.2013,"(47.600882391, -122.333529119)",K3
2014317883,-122.303870383,47.593057638,030,ROBBERY,9000.1010,"(47.593057638, -122.303870383)",G2
2014318084,-122.349831716,47.617680358,030,ROBBERY,7200.2010,"(47.617680358, -122.349831716)",M1
201739528,-122.312584,47.716698,030,ROBBERY,700.3005,"(47.716698, -122.312584)",L1
2014318361,-122.332996529,47.622544754,030,ROBBERY,7300.1010,"(47.622544754, -122.332996529)",D2
2014318865,-122.344552847,47.662121885,030,ROBBERY,5000.4023,"(47.662121885, -122.344552847)",J3
2014319103,-122.312853889,47.600008406,030,ROBBERY,9000.3017,"(47.600008406, -122.312853889)",G2
2014319475,-122.336165511,47.616053296,030,ROBBERY,7300.3022,"(47.616053296, -122.336165511)",D2
2014320407,-122.323417654,47.61522969,030,ROBBERY,8400.1014,"(47.61522969, -122.323417654)",E2
2014320445,-122.320054033,47.617576964,030,ROBBERY,7500.5010,"(47.617576964, -122.320054033)",E1
2014320411,-122.319372565,47.612175897,030,ROBBERY,7500.4020,"(47.612175897, -122.319372565)",E2
2014321676,-122.333887751,47.607158145,030,ROBBERY,8100.2019,"(47.607158145, -122.333887751)",K1
2014324499,-122.345654257,47.614039708,030,ROBBERY,8001.2008,"(47.614039708, -122.345654257)",M1
2014325303,-122.328636387,47.708627884,030,ROBBERY,1200.4006,"(47.708627884, -122.328636387)",N3
2014325445,-122.344896099,47.717174472,030,ROBBERY,402.2005,"(47.717174472, -122.344896099)",N1
2014325439,-122.31666792,47.605633131,030,ROBBERY,8600.1017,"(47.605633131, -122.31666792)",E3
2014324546,-122.340455699,47.610963585,030,ROBBERY,8100.2003,"(47.610963585, -122.340455699)",M3
201739712,-122.34588,47.692017,030,ROBBERY,1800.2006,"(47.692017, -122.34588)",N3
2014324137,-122.351313634,47.691130169,030,ROBBERY,1700.3000,"(47.691130169, -122.351313634)",B3
2014323763,-122.271376799,47.521674097,030,ROBBERY,11800.4005,"(47.521674097, -122.271376799)",S2
2014326445,-122.316781441,47.606201986,030,ROBBERY,8600.1017,"(47.606201986, -122.316781441)",E3
2014326329,-122.320771379,47.613519513,030,ROBBERY,8400.1017,"(47.613519513, -122.320771379)",E2
2014322931,-122.323443935,47.604128076,030,ROBBERY,8500.3001,"(47.604128076, -122.323443935)",E3
2014327154,-122.276547984,47.546678435,030,ROBBERY,10200.3010,"(47.546678435, -122.276547984)",R3
2014369849,-122.345449915,47.522113809,030,ROBBERY,11300.1014,"(47.522113809, -122.345449915)",F3
2014330392,-122.276403264,47.52331044,030,ROBBERY,11800.4000,"(47.52331044, -122.276403264)",S2
